firma,d_summa_k-ta,d_km,d_total,d_arve,d_date,d_date_maks,d_days,d_konto,d_subschet,d_subkonto,dkulud_konto,dkulud_subschet,dkulud_subkonto,d_kulud,komm
Armina,Summa km-ta 20%,Käibemaks 20%,Arve kokku  \(EUR\),Arve nr,Kuupäev,Maksetähtpäev,,60,1,6:144,26,,8:6:31,tolketeenused
Oculus,Summa ilma käibemaksuta,Käibemaks 20%,Tasumisele kuulub,ARVE NR,Kuupäev:,Makse tähtpäev:,,60,1,6:89,26,,8:6:31,tolketeenused
Elisa Teleteenused AS,Summa käibemaksuta,Käibemaks \(20%\),Arve summa,100130171,5a-13,maakond,,60,1,6:76,26,,8:6:11:14,internet
Elisa Eesti AS,Summa käibemaksuta,Käibemaks \(20%\),Arve summa,100130171,5a-13,maakond,,60,1,6:76,26,,8:6:11:14,internet
Elisa Eesti AS,Summa käibemaksuta,Käibemaks \(22%\),Arve summa,100130171,5a-13,maakond,,60,1,6:76,26,,8:6:11:14,internet
Must Have OÜ,Neto kokku:,Käibemaks \(20%\),Tasuda:,Arve number:,Kuupäev:,Maksetähtaeg:,,60,1,6:39,26,,8:6:31,tolketeenused
__Must Have,Kokku maksustatav summa \(EUR\):,Käibemaks \(20%\),Kokku maksustatav summa \(EUR\):,ARVE NR.,Kuupäev:,Maksetähtaeg:,,60,1,6:39,26,,8:6:31,tolketeenused
__Compic OÜ,Kokku \/ Всего,20.00% Käibemaks \/VAT,Summa \/ К Оплате,"(Ettemaksu)?[Aa]rve \/ (Предварительный)?\s?[Сс]чет: ",Kuupäev \/ Дата:,Maksetähtaeg / Срок оплаты:,,60,1,6:20,26,,8:6:11:1,bonus.ee,1
Compic OÜ,"Kokku: \d+[.,]\d{2} EUR","Kokku: \d+[.,]\d{2} EUR\s\d+[.,]\d{2} EUR\s",Kokku:,Arve \/ Счет,Дата выставления счета \/ Kuupäev:,Срок оплаты \/ Maksetähtaeg:,,60,1,6:20,26,,8:6:11:1,bonus.ee,1
WAVED STRIPES,KOGUSUMMA,Käibemaks \(20%\),KOGUSUMMA,ARVE - SAATELEHT Nr. ,MAKSETINGIMUSED\n,Maksetähtaeg,päeva,60,1,6:86,26,,8:6:31,tolketeenused
Bolt Operations,Итого \(EUR\):,НДС 20%:,"Итого\, включая НДС \(EUR\):",Счёт № ,Дата: ,Дата: ,,60,12,6:154,26,,8:6:34:1,Bolt,1
YULIA LEKHESOO FIE,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:155,26,,8:6:34:1,Bolt,1
BALTIC TRANS COMPANY,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:156,26,,8:6:34:1,Bolt,1
YES TRANSPORT,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:157,26,,8:6:34:1,Bolt,1
Sergei Puzin,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:158,26,,8:6:34:1,Bolt,1
Raul Viira,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:158,26,,8:6:34:1,Bolt,1
EESTITELE OÜ,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:158,26,,8:6:34:1,Bolt,1
AVORON OÜ,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:158,26,,8:6:34:1,Bolt,1
EESTI KIIRTOIT OÜ,Итого \(EUR\):,НДС:,"Итого\, включая НДС \(EUR\):",Счет № ,Дата: ,Дата: ,,60,12,6:158,26,,8:6:34:1,Bolt,1
Hobby Hall GROUP OÜ,Summa KM-ta,Käibemaks 20%,Kokku koos KM-ga,MÜÜGIARVE NR. ,Kuupäev: ,Kuupäev: ,,60,1,6:158,26,,8:6:26:5,muud,1
Tele2 Eesti,ARVE KOKKU:,"ARVE KOKKU: \d+[.,]\d{2}","ARVE KOKKU: \d+[.,]\d{2}\s*\d+[.,]\d{2}",Arve nr: ,kuupäev: ,Maksetähtaeg:,,60,1,6:158,26,,8:6:11:17,telefon,1
TELE2 EESTI,Arve kokku:,"Arve kokku: \d+[.,]\d{2}\s?€?\s","Arve kokku: \d+[.,]\d{2}\s?€?\s\d+[.,]\d{2}\s?€?\s",Arve nr: ,Arve kuupäev: ,Maksetähtaeg:,,60,1,6:158,26,,8:6:11:17,telefon,1
Eesti Gaas,Summa käibemaksuta 22%,Käibemaks 22%,Summa käibemaksuga,ARVE nr ,Kuupäev,Maksetähtaeg,,60,1,6:182,26,,8:6:1:9,gaasikatlaholdus,1
BTA Baltic Insurance,Summa kokku \(Total amount\):,Käibemaks \(20%\),Summa kokku \(Total amount\):,Arve Nr. \(Invoice No.\):,Kuupäev \(Date\):,\(Date\) \(Amount\) \(Currency\),,60,1,6:163,26,,8:6:25:1,kindlustus,1
If P&C Insurance AS,Kokku €\s?,Käibemaks \(20%\),Summa kokku \(Total amount\):,[a|A]rve nr\s?,Arve kuupäev ,Maksetähtaeg,,60,1,6:163,26,,8:6:25:1,kindlustus,1
EKAR WorkForces,Kokku  EUR:,KM 20% :,Tasumiseks :,Arve nr.:,Kuupäev:,Tähtaeg:,Maksetingimused:,60,1,6:184,26,,8:6:1:4,remont,1
Päikesemees OÜ,kokku:,"kokku: \d+[.,]\d{2}",Tasumisele kuulub:,Arve nr ,Kuupäev:,Makse tähtpäev:,Maksetingimused:,60,1,6:200,26,,8:6:1:4,el.tood,1
MFSceiling,Summa km-ta 20%.,Käibemaks 20%.,Kokku :,Arve,Kuupäev :,Maksetähtpäe :,,60,1,6:185,26,,8:6:1:4,remont,1

